rid,aircraft,airport,model,wildlife_struck,impact,flight_date,damage,airline,origin,flight_phase,remains_collected_flag,Remarks,wildlife_size,sky_conditions,species,pilot_warned_flag,altitude_ft,heavy_flag
203936,Airplane,ORLANDO INTL,SAAB-340,9,Aborted Take-off,3/18/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Florida,Take-off run,FALSE,"(BIRD REPTD AS GULL, ASSUME RING-BILLED BASED ON ARPT REPT)",Medium,Some Cloud,Ring-billed gull,Y,0,No
203938,Airplane,MYRTLE BEACH INTL,B-737,8,None,3/22/2000 0:00,Caused damage,US AIRWAYS*,South Carolina,Landing Roll,TRUE,FLT 2151. PILOT REPTD BIRD STRIKE AFTER LDG. BIRDS WERE IDENTIFIED AS TURKEY VULTURES AFTER RWY CHECK.,Large,Some Cloud,Turkey vulture,N,0,Yes
200130,Airplane,MINNEAPOLIS-ST PAUL INTL,DC-9-10,5,Engine Shut Down,3/23/2000 0:00,Caused damage,NORTHWEST AIRLINES,Minnesota,Climb,FALSE,"FLT 1493 STATED HE FLEW THRU A FLOCK OF ABOUT 50 TRUMPETER SWANS. OCCURRED OVER ARPT PROPERTY. ENG REPLACED. INGESTION. PREC. LDG. BENT BLADES, TEMP INCREASED. HIT INLET FIRST. RETD TO LAND",Large,Overcast,Tundra swan,Y,800,No
201705,Airplane,LAFAYETTE REGIONAL (LA),SAAB-340,3,None,3/23/2000 0:00,No damage,AMERICAN EAGLE AIRLINES,Louisiana,Climb,FALSE,FOUND REMAINS OF 2 BIRDS. TIME OUT OF SVC 0.5 HRS,Small,No Cloud,Unknown bird - small,Y,"1,000",No
201770,Airplane,CLEVELAND-HOPKINS INTL ARPT,EMB-145,6,None,3/25/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Approach,FALSE,NO KNOWN DMG,Small,No Cloud,Unknown bird - small,N,"1,500",No
201506,Airplane,WASHINGTON DULLES INTL ARPT,B-737-300,10,None,4/1/2000 0:00,No damage,US AIRWAYS*,DC,Approach,FALSE,"# BIRDS STRUCK NOT REPT, ASSUME 2-10, SAME AS # SEEN.",Small,No Cloud,Unknown bird - small,N,"1,000",Yes
201524,Airplane,SAN FRANCISCO INTL ARPT,B-747-1/200,9,None,4/2/2000 0:00,No damage,NORTHWEST AIRLINES,California,Take-off run,FALSE,UNKNOWN WHERE BIRD HIT ON A/C. UNKN IF DMG. NO DMG REPTD,Small,No Cloud,Unknown bird - small,Y,0,No
207027,Airplane,CENTRAL WISCONSIN ARPT,SAAB-340,2,None,4/4/2000 0:00,No damage,MESABA AIRLINES,Wisconsin,Approach,FALSE,"AT 30-50 FT AGL, ABOVE RWY THRESHOLD, ABOUT 50 SPARROW-SIZED BIRDS BECAME AIRBORNE AND REMAINED IN OUR FLT PATH. FEATHERS FOUND AROUND RT ENG INTAKE.",Small,Some Cloud,Unknown bird - small,N,50,No
4064,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-52H,10,None,4/6/2000 0:00,No damage,MILITARY,Louisiana,Approach,FALSE,A bird struck the left inboard flap and one was ingested into the #7 engine intake.,Medium,No Cloud,Unknown bird or bat,Y,"1,000",No
202816,Airplane,DETROIT METRO WAYNE COUNTY ARPT,DC-9,4,None,4/8/2000 0:00,Caused damage,US AIRWAYS*,Michigan,Climb,FALSE,CAPT SAW BIRD ON RWY DURING ROTATION. ABOUT 10 WERE 20 FT AGL THEN THEY FLEW RIGHT INTO THE A/C. DMG TO WING AND NOSE GEAR LIGHT.,Medium,Some Cloud,Unknown bird - medium,N,100,No
200828,Airplane,MYRTLE BEACH INTL,DC-9,10,None,4/9/2000 0:00,No damage,AIRTRAN AIRWAYS,South Carolina,Climb,FALSE,PILOT REPTD POSSIBLE BIRD STRIKE ON DEPTR. NO PROBLEMS REPTD. CONTD FLT TO ATL. FOUND 3 BIRDS ON RWY. FLT 683,Small,No Cloud,Unknown bird - small,N,100,No
203262,Airplane,SAN FRANCISCO INTL ARPT,B-737-500,10,None,4/12/2000 0:00,No damage,UNITED AIRLINES,California,Approach,FALSE,"FLT 2215. LOUD NOISE & SLIGHT VIBRATION FELT WHEN FLAP HANDLE IS MOVED INTO EACH DETENT. INSPN CLEANED BLOOD & FEATHER SMEARS ON NOSE WHEEL WELL AREA IN INBD LHS OF #1 FAN COWL AND LEADING EDGE. COST WAS FOR LABOR, NOT DAMAGE REPAIRS.",Small,Some Cloud,Killdeer,Y,50,Yes
200681,Airplane,TOLEDO EXPRESS ARPT,CL-RJ100/200,3,Other,4/13/2000 0:00,Caused damage,COMAIR AIRLINES,Ohio,Landing Roll,FALSE,DMGD FLAP CAUSED DEPTR TO BE CANCELLED. POSSIBLE ENG DMG. FLAP AND RIVET BENT.,Large,Some Cloud,Canada goose,N,0,No
202210,Airplane,METRO OAKLAND INTL,B-737-700,2,None,4/16/2000 0:00,No damage,ALOHA AIRLINES,California,Landing Roll,FALSE,"ENG PARAMETERS NORMAL, BUT NEEDS INSPN. COST WAS FOR INSPN",Small,Some Cloud,Western sandpiper,Y,0,Yes
202062,Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,B-757-200,2,None,4/21/2000 0:00,No damage,DELTA AIR LINES,Alabama,Approach,FALSE,"3-5 SWALLOWS OR SML BLACK BIRDS ON FINAL APCH WERE FLOWN THRU. 1 HIT CO/P WINDOW, SIDE SLIDING, ANOTHER MAY HAVE HIT RT WING.",Small,No Cloud,Unknown bird - small,N,500,Yes
200155,Airplane,BEVERLY MUNICIPAL ARPT,C-560,8,Aborted Take-off,4/25/2000 0:00,No damage,BUSINESS,Massachusetts,Take-off run,FALSE,3 BIRDS STRUCK.,Large,Some Cloud,Wild turkey,N,0,No
202836,Airplane,TED STEVENS ANCHORAGE INTL,B-747-400,8,None,4/26/2000 0:00,Caused damage,ATLAS AIR,Alaska,Descent,FALSE,HIT 3 OUT OF 20 GEESE. FELT AND SAW STRIKES. VERY MINOR DENTS IN IMPACT AREAS.,Large,No Cloud,Canada goose,Y,"3,500",No
204057,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,6,None,4/28/2000 0:00,No damage,US AIRWAYS*,North Carolina,Approach,FALSE,FOG AND RAIN. FLT 534.,Small,Overcast,Unknown bird - small,N,"1,000",No
201230,Airplane,TED STEVENS ANCHORAGE INTL,B-757-200,3,None,4/29/2000 0:00,No damage,DELTA AIR LINES,Alaska,Approach,FALSE,SOME BIRDS INGESTED IN #2 ENG.,Small,Overcast,Lapland longspur,Y,30,Yes
205954,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,10,None,4/30/2000 0:00,No damage,COMAIR AIRLINES,Kentucky,Approach,FALSE,,Small,No Cloud,Unknown bird - small,Y,"2,000",No
201585,Airplane,GREATER PEORIA REGIONAL ARPT,BE-58  BARON,2,None,5/3/2000 0:00,No damage,PRIVATELY OWNED,Illinois,Approach,FALSE,"OUTSIDE L ENG. 2 SML BIRDS HIT. 1 ON WINDSHLD, OTHER ON COWLING OUTSIDE L ENG.",Small,No Cloud,Unknown bird - small,N,"1,800",No
201990,Airplane,INDIANAPOLIS INTL,DC-9-30,5,None,5/3/2000 0:00,No damage,US AIRWAYS*,Indiana,Landing Roll,FALSE,"PILOT SAID HE HIT 1 BIRD, 2 WERE FOUND ON RWY. 500 FT FROM APCH OF TWY14.",Small,No Cloud,European starling,N,0,No
202887,Airplane,SAN FRANCISCO INTL ARPT,B-737-500,7,None,5/4/2000 0:00,No damage,UNITED AIRLINES,California,Landing Roll,FALSE,FLT 2267 BIRD HIT LHS A/.C FOUND STRKE ON LT KRUER FLAP. (DATA ENTRY NOTE: 5200-7 FORM HAD RADOME MARKED),Small,Some Cloud,Unknown bird - small,N,0,Yes
200068,Airplane,LOUISVILLE INTL ARPT,B-767-300,5,None,5/9/2000 0:00,No damage,UPS AIRLINES,Kentucky,Approach,FALSE,POSSIBLY A STARLING. LOCAL NOTAM WARNING.,Small,Overcast,Unknown bird - small,Y,75,Yes
209758,Airplane,PORTLAND INTL (OR),DC-10,3,None,5/10/2000 0:00,No damage,FEDEX EXPRESS,Oregon,Landing Roll,FALSE,BIRDS HIT WINDSHLD & ENG COWLING.,Medium,Overcast,Mallard,Y,0,No
200785,Airplane,STEWART INTL AIRPORT,FOKKER F100,4,None,5/13/2000 0:00,No damage,AMERICAN AIRLINES,New York,Climb,FALSE,APPROX 5 BIRDS KILLED. FLT 1687.,Medium,Some Cloud,Herring gull,N,50,No
201283,Airplane,LOS ANGELES INTL,SAAB-340,7,Aborted Take-off,5/15/2000 0:00,Caused damage,AMERICAN EAGLE AIRLINES,California,Take-off run,FALSE,"FLT 103. BIRD STRUCK NOSE CONE, BLOOD OVER WINDSHLD. OTHER BIRD WAS INGESTED. ENG RAN BOUT 50 DEGREES HOTTER. FLT TO SAN WAS CANCELLED. ENG WAS CHANGED FOR FOD CONTAMINATION. (ENG MANU REPTS NO FAN BLADE DMG)",Small,Some Cloud,Rock pigeon,N,0,No
7379,Airplane,BARKSDALE AIR FORCE BASE ARPT,B-52H,9,None,5/18/2000 0:00,No damage,MILITARY,Louisiana,Approach,TRUE,Birdstrike on #1 main landing gear and above the #5 engine.,Small,No Cloud,Cape May warbler,Y,"1,200",No
200893,Airplane,BURKE LAKEFRONT,PA-31 NAVAJO,10,None,5/19/2000 0:00,No damage,BUSINESS,Ohio,Landing Roll,FALSE,BOTH RING-BILLED & HERRING GULLS REPTD. WET SURFACE ON RWY FROM RAINSTORM.,Medium,Overcast,Herring gull,Y,0,No
203391,Airplane,PHILADELPHIA INTL,FOKKER F100,3,None,5/23/2000 0:00,No damage,AMERICAN AIRLINES,Pennsylvania,Approach,FALSE,ATIS WARNING.,Medium,Overcast,Unknown bird - medium,Y,850,No
207700,Airplane,METRO OAKLAND INTL,B-737-300,7,None,5/28/2000 0:00,No damage,UNITED AIRLINES,California,Climb,FALSE,"FLT 2539 REPTD STRIKING A FEW BIRDS ON T/O. ""BLOOD ON THE GLASS"" FOUND 1 ROCK DOVE AT 1500' DWON RWY. BIRD WAS IN 4 PARTS. AIRLINE REPT STATED BIRD HIT INIVICINTY OF LT WING. MAINT CLEANED AREA & LE LFAPS WORK NORMAL.",Small,Some Cloud,Rock pigeon,Y,30,Yes
201771,Airplane,CAPITAL CITY (MI),SAAB-340,7,None,5/29/2000 0:00,No damage,CHAUTAUQUA AIRLINES,Michigan,Take-off run,FALSE,,Small,Some Cloud,Unknown bird - small,N,0,No
203389,Airplane,CAPITAL (BEIJING),B-727,4,None,5/29/2000 0:00,No damage,DELTA AIR LINES,N/A,Approach,FALSE,FLT 890,Small,No Cloud,Unknown bird - small,Y,300,No
203333,Airplane,PEASE INTL TRADEPORT,C-172,3,Precautionary Landing,5/30/2000 0:00,Caused damage,PRIVATELY OWNED,New Hampshire,Climb,FALSE,BLACKBIRDS OR CROWS. 2 SLIGHT DENTS I BOTTOM SURFACE OF WING JUST OTBD OF STRUT. BIRD ID BY WS BIOL,Medium,Some Cloud,American crow,Y,"1,000",No
202886,Airplane,SAVANNAH INTL,EMB-145,2,None,6/1/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Georgia,Take-off run,FALSE,,Small,Overcast,Unknown bird - small,Y,0,No
201053,Airplane,PHILADELPHIA INTL,A-320,10,None,6/3/2000 0:00,No damage,AMERICA WEST AIRLINES,Pennsylvania,Approach,FALSE,2 birds,Small,No Cloud,Unknown bird - small,N,500,No
203804,Airplane,WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,9,None,6/6/2000 0:00,No damage,ATLANTIC COAST AIRLINES,DC,Approach,FALSE,"FLT 7189. REMAINS FOUND ON FUSELAGE, PROP AND INTAKE.",Small,No Cloud,Unknown bird - small,N,150,No
202701,Airplane,BURKE LAKEFRONT,LEARJET-35,3,None,6/6/2000 0:00,No damage,BUSINESS,Ohio,Landing Roll,FALSE,2 BIRDS KILLED.,Medium,Some Cloud,Ring-billed gull,Y,0,No
202151,Airplane,HILO INTL ARPT,DC-9-50,10,None,6/7/2000 0:00,No damage,HAWAIIAN AIR,Hawaii,Landing Roll,FALSE,A/C REG GIVEN AS 63. ARPT REPTD AS GENERAL LYMAN FIELD. POSTMARK WAS HONOLULU.  ASSUME HONOLULU ARPT,Small,Some Cloud,Common myna,N,0,No
205305,Airplane,FORT LAUDERDALE/HOLLYWOOD INTL,MD-88,5,Precautionary Landing,6/8/2000 0:00,No damage,DELTA AIR LINES,Florida,Climb,FALSE,"ON ROTATION, FLT 712 HIT A FLOCK OF BIRDS. RETD SAFELY. NOSE AND WNDSHLD WERE CLEANED. 98 PAX AND 5 CREW. SMELLED BURNING BIRD IN PACKS. MIGHT HAVE BEEN AN INGESTION.",Small,Some Cloud,Unknown bird - small,Y,10,No
203483,Airplane,DALLAS LOVE FIELD ARPT,B-737,2,None,6/9/2000 0:00,No damage,SOUTHWEST AIRLINES,Texas,Landing Roll,FALSE,,Small,Overcast,Unknown bird - small,N,0,Yes
204287,Airplane,LOGAN INTL,B-737-300,4,Precautionary Landing,6/11/2000 0:00,Caused damage,US AIRWAYS*,Massachusetts,Climb,FALSE,L ENG CHANGED. INGESTION. (ENG MANU REPTS NO FAN BLADE DMG),Large,Overcast,Unknown bird - large,N,800,Yes
200031,Airplane,DENVER INTL AIRPORT,BE-1900,9,None,6/12/2000 0:00,No damage,GREAT LAKES AIRLINES,Colorado,Approach,FALSE,SAW 2 BIRDS ON FINAL. DID NOT NOTICE IMPACT. ON WALK AROUND NOTICED R ENG LIP INTAKE IMPACT AND ALSO RT OTBD WING NEXT TO ENG. INSPN FOUND NO DMG.,Small,No Cloud,Unknown bird - small,N,500,No
201214,Airplane,SAVANNAH INTL,B-757-200,8,None,6/14/2000 0:00,No damage,DELTA AIR LINES,Georgia,Take-off run,FALSE,PART OF STRIKE REPT MISSING. PART STRUCK UNKN. BUT COMMENTS SHOW NO DMG,Small,No Cloud,Unknown bird - small,N,0,Yes
201505,Airplane,KALAMAZOO/BATTLE CREEK INTL,CL-RJ100/200,7,None,6/15/2000 0:00,No damage,COMAIR AIRLINES,Michigan,Approach,FALSE,SPARROWS/STARLINGS. FLT 5477,Small,Some Cloud,European starling,N,40,No
204115,Airplane,NORFOLK INTL,IAI-1124,9,Precautionary Landing,6/16/2000 0:00,No damage,UNKNOWN,Virginia,Take-off run,FALSE,,Medium,Some Cloud,Unknown bird - medium,N,0,No
202139,Airplane,GERALD R FORD INTL,DC-9-40,5,None,6/20/2000 0:00,No damage,NORTHWEST AIRLINES,Michigan,Landing Roll,FALSE,"FLT 1573. BIRDS STRUCK CAPT'S WINDOW, CENTER WINDOWS AND HORIZ STABIL. OK FOR SVC. 1 HOUSE SPARROW AND 2 FEMALE REDWING BLACKBIRDS.",Small,Overcast,Red-winged blackbird,N,0,No
203968,Airplane,INDIANAPOLIS INTL,B-757-200,2,None,6/21/2000 0:00,No damage,AMERICA WEST AIRLINES,Indiana,Landing Roll,FALSE,,Small,Some Cloud,American kestrel,Y,0,Yes
202994,Airplane,FORT SMITH MUNICIPAL ARPT,C-172,10,None,6/25/2000 0:00,No damage,BUSINESS,Arkansas,Approach,FALSE,2 birds,Small,No Cloud,Unknown bird - small,N,20,No
202602,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,BE-1900,10,None,6/25/2000 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),Kentucky,Landing Roll,FALSE,,Small,Some Cloud,European starling,Y,0,No
201414,Airplane,MCCARREN INTL,B-727,8,None,6/26/2000 0:00,No damage,ATA AIRLINES,Nevada,Climb,FALSE,FLT 142. PILOT REPTD STRIKING 2 BIRDS. A/C CHECKED OUT OKAY. FLT CONTD OUT OF L30 AIRSPACE W/O INCIDENT. RDO NOTIFIED.,Medium,Overcast,Unknown bird - medium,N,"5,100",No
203143,Airplane,ATLANTA INTL,BA-31 JETSTR,5,None,6/27/2000 0:00,Caused damage,BUSINESS,Georgia,Landing Roll,FALSE,2 BIRDS. INGESTION BENT COMPRESSOR BLADES.,Medium,Some Cloud,Unknown bird - medium,N,0,No
